Data Obat;;;;;;;;
No.;Abjad;Nama Obat;Golongan;Kategori;Manfaat;Pengguna;Bentuk obat;Gangguan
1;A;Abacavir;Obat resep;Antivirus nucleoside reverse transciptase inhibitors (NRTIs);Memperlambat perkembangan infeksi HIV;Dewasa dan anak usia ≥3 bulan;Tablet;HIV
2;A;Abemaciclib;Obat resep;Penghambat protein kinase;Menangani kanker payudara;Dewasa;Tablet;Kanker payudara
3;A;Abrocitinib;Obat resep;Obat imunosupresan;Mengatasi penyakit dermatitis atopik;Dewasa dan anak usia ≥12 tahun;Tablet;dermatitis atopik
4;A;Acalabrutinib;Obat resep;Penghambat protein kinase;Mengobati leukemia limfostik kronis (LLK) atau limfoma limfostik kecil (LLS), dan limfoma sel mantel (LSM);Dewasa;Kapsul;leukemia limfostik kronis (LLK), limfoma limfostik kecil (LLS), limfoma sel mantel (LSM)
5;A;Acarbose;Obat resep;Antidiabetes;Mengontrol kadar gula darah pada penderita diabetes tipe 2;Dewasa;Tablet;Diabetes
6;A;Acebutolol;Obat resep;Penghambat beta (beta blockers);Mengobati hipertensi, aritmia, atau angina pektoris;Dewasa;Kapsul;hipertensi, aritmia, angina pektoris
7;A;Acetazolamide;Obat resep;Diuretik;Mengobati glaukoma, edema, epilepsi, dan altitude sickness;Dewasa dan anak-anak usia di atas 12 tahun;Tablet;glaukoma, edema, epilepsi, altitude sickness
8;A;Acetin;Obat resep;Obat pengencer dahak jenis mukolitik;"1. Mengencerkan dahak yang kental akibat penyakit saluran pernapasan, seperti bronkiektasis, bronkitis, kistik fibrosis, atau emfisema.
2. Mengobati keracunan obat paracetamol
3. Mengatasi gangguan pada saluran kemih akibat efek samping kemoterapi dengan cyclophosphamide
";Dewasa dan anak-anak;Kapsul dan tablet effervescent;Bronkitis
9;A;Acetylcysteine;Obat resep;Obat mukolitik (pengencer dahak);Mengencerkan dahak dan mengobati keracunan paracetamol;Dewasa dan anak-anak;Tablet effervescent, kapsul, sirop kering, granul, infus;Batuk berdahak, keracunan paracetamol
10;A;Acetylcysteine Inhalasi;Obat resep;Obat mukolitik (pengencer dahak);Mengencerkan dahak;Dewasa;Cairan inhalasi;Bronkitis, batuk berdahak
11;A;Acifar;Obat resep;Obat antivirus;Mengatasi infeksi yang disebabkan oleh virus herpes, seperti herpes genital, herpes bibir, cacar ular, dan cacar air.;Dewasa dan anak-anak;Kaplet;Herpes
12;A;Acifar Cream;Obat resep;Obat antivirus;Mengobati gejala herpes simpleks pada kulit;Dewasa dan anak usia >12 tahun;Krim;Herpes simpleks
